112,dungloe district hospital,0749521160,0749521044,,,gweedore road,,,dungloe,donegal,ireland,,hospital,01/01/2000,trade
113,dungloe national school,0749521316,,,,dungloe,,,,donegal,ireland,,,01/01/2000,trade
114,dunmanway swimming pool,0238845349,,jenniferdeasy@corkcoco.ie,,bantry road,,,dunmanway,cork,ireland,,,01/01/2000,trade
115,enable ireland,0656943047,,akildea@enableireland.ie,,clonroad business park,clon road,,ennis,clare,ireland,,health sector,01/01/2000,trade
116,enable ireland - child center,,,,,oakview village,,,tralee,kerry,ireland,,,01/01/2000,trade
117,enable ireland galway,,,asmart@enableIreland.ie,,seamus quirke rd,,,newcastle,galway,ireland,,,01/01/2000,trade
118,enable supplies,,0876143399,marc.egan@enablesupplies.com,,7 kilnagleary business park,,,carrigaline,cork,ireland,,,01/01/2000,trade
119,enable supplies ltd,,0873288743,marc.egan@enablesupplies.ie,,,,,,,ireland,,,01/01/2000,trade
120,enniscorthy community workshop,0539233039,,info@cwe.ie,,bellefield,,,enniscorthy,wexford,ireland,,,15/07/2015,trade
121,falcarragh day hospital,0749135104,0749135133,geraldine.mclean@hse.ie,,,,,falcarragh,donegal,ireland,,hospital,01/01/2000,trade
122,falcarragh nursing home,0749135104,,,,,,,falcarragh,donegal,ireland,,hse,01/01/2000,trade
123,ferbane national school,,,,,,,,ferbane,offaly,ireland,,,01/01/2000,trade
124,fermoy leisure centre,,,fermoyleisurecentre@eircom.net,,,,,fermoy,cork,ireland,,,01/01/2000,trade
125,festina lente enterprises ltd.,,0863549755,jillcarey@festinalente.ie,12720708,old conaught avenue,,,bray,wicklow,ireland,,riding school,01/01/2000,trade
126,firmount national school,0217337344,,,,,,,donoughmore,cork,ireland,,education,01/01/2000,trade
127,forest lodge respite childrens home,,,yvoone.mckibbin@belfasttrust.hscni.net,,"stockmans lane, musgrave park hospital",bt9 7jb,,belfast,antrim,ireland,,hospital,01/01/2000,trade
128,gael scoil,,,,,thomas david,summerhill,,mallow,cork,ireland,,education,01/01/2000,trade
129,gaelscoil mhic amhlaigh,,,scoilma.ias@eircom.net,,an coim in mor,bothar na gcepach,,cnoc na cathrach,galway,ireland,,,01/01/2000,trade
130,gallen community school,0906454548,,ufinnegan@gallencs.com,,,,,ferbane,offaly,ireland,,,01/01/2000,trade
131,galway p.c.c.c. stores,,0867924282,,,briarhill business park,,,ballybrit,galway,ireland,,,01/01/2000,trade
132,garda retirement home,,,,,476 howth road,raheny,,raheny,dublin,ireland,,,01/01/2000,trade
133,garryhankard house,0868324700,,,,,,,upton,cork,ireland,,,01/01/2000,private
134,gorey educate together ns,0539489662,,info@goreyeducatetogether.ie,,kilnahue lane,carnew road,,gorey,wexford,ireland,,school,01/01/2000,trade
135,granstown priory scheme,,,,,grantstown,,,wellington bridge,wexford,ireland,,,01/01/2000,trade
136,grantstown day care centre,,,,,,,,wexford,,ireland,,,01/01/2000,trade
137,grove court,,,marian.glynn@hse.ie,,grove road,,,blanchardstown,dublin 17,ireland,,care centre,01/01/2000,trade
138,grove house,0214927942,,,,st. mary's orthopaedic hospital,,,gurranabraher,cork,ireland,,,01/01/2000,trade
139,h.s.e. north east area,0494361800,,,,local health office,,,lisdarn,cavan,ireland,,,01/01/2000,trade
140,hacketstown national school,,,,,,,,hacketstown,carlow,ireland,,,01/01/2000,trade
141,hazel hall nursing home,,,pauline.travers@hse.ie,,prosperous,co kildare,,cork,cork,ireland,,,01/01/2000,trade
142,headway,0214871303,,ocallaghanp@headway.ie,,unit 3b,link road business park,,,cork,ireland,,,01/01/2000,trade
143,healthy living centre,,,,,hospital grounds,,,new ross,wexford,ireland,,,01/01/2000,trade
144,highfield hospital,,,eustace@highfieldhaelthcare.ie,,4 bedwards,swords rd,,"whitehall, d10",dublin,ireland,,,01/01/2000,trade
145,holy angels day care centre,0599143911,,sharon@theholyangels.org,,strawhall industrial est,,,carlow,carlow,ireland,,residential home,01/01/2000,trade
146,holy family school,0495552257,,holyfamilysch.ias.@eircom.net,495556150,old bridge road,,,cootehill,cavan,ireland,,education,01/01/2000,trade
147,hse,,,,,rathcoole,,,fethard,tipperary,ireland,,,01/01/2000,trade
148,hse - n.w.a.,,,,,,,,falcarragh,donegal,ireland,,,01/01/2000,trade
149,hse department,,,,,ot dept,naas vista house,ballymore rd,naas,kildare,ireland,,,01/01/2000,trade
150,hse letterkenny,0749123501,,anne.drake@hse.ie,,,,,letterkenny,donegal,ireland,,,01/01/2000,trade
151,hse ofalia house,0469731285,,ofaliahouse@hse.ie,,st mary's road,,,edenderry,offaly,ireland,,,01/01/2000,trade
152,hse stores letterkenny,0749123501,,anne.drake@hse.ie,,lisnennan,,,letterkenny,donegal,ireland,,,01/01/2000,trade
153,i.w.a - south tipperary,,0872050869,donald.campbell@iwa.ie,,"(ref johns court, the steeples)",brodeen,cashel rd,tipperary town,tipperary,ireland,,private house,10/08/2016,trade
154,i.w.a.,0876949083,,,667117657,,ballygoluge rd.,,listowel,kerry,ireland,,residential home,01/01/2000,trade
155,imnda,,,thutchin@imnda.ie,,turvey cottages,coleraine house,coleraine street,dublin 7,dublin,ireland,,,01/01/2000,trade
156,inchicore community nursing unit,,,,,therapy room - ground floor,,,inchicore,dublin,ireland,,hospital,01/01/2000,trade
157,iniscealtra national school,,,,,,,,mountshannon,clare,ireland,,education,01/01/2000,trade
158,irish wheelchair assoc,,,,,30 westbourne,watery road,,ennis,clare,ireland,,,01/01/2000,trade
159,irish wheelchair association,,,,18531256,black heath drive,clontarf,,dublin 3,dublin,ireland,,,01/01/2000,trade
160,irish wheelchair association/lucan,,,,,,londonbridge road,irishtown,dublin 4,dublin,ireland,,independent living,01/01/2000,trade
161,jd contracting,,0868142211,,,7 melrose gardens,,,clondalkin,dublin,ireland,,contractor,01/01/2000,trade
162,journey man centre,,,heatherlynchjournyman@gmail.com,,ballynagarra,,,carrick on suir,tipperary,ireland,,health sector,01/01/2000,trade
163,kanturk community hospital,,0872066643,margaretb.fitzgerald@hse.ie,2951292,,,,kanturk,cork,ireland,,,01/01/2000,trade
164,kenmare community unit,0646641088,,margaret.osullivan7@hse.ie,,room 18 downstairs,,,kenmare,kerry,ireland,,,01/01/2000,trade
165,"kerry co co , listowel",,,,,11 stokers place,jb keane road,,listowel,kerry,ireland,,,01/01/2000,trade
166,kilbeheny national school,,0862122236,kilbehennyns@hotmail.com,,,,,mitchelstown,cork,ireland,,education,01/01/2000,trade
167,kildysart national school,0656832477,0879305804,kildysartns.ias@eircom.net,,,,,kildysart,clare,ireland,,school,01/01/2000,trade
168,kilfinnane national school,,,,,,,,kilfinnane,limerick,ireland,,education,01/01/2000,trade
169,kilkenny community services,0567725812,0863334326,,,westcourt,,,callan,kilkenny,ireland,,end customer,01/01/2000,private
170,killahan national school,0667135644,,doyg@eircom.net,,abbeydorney,,,tralee,kerry,ireland,,,01/01/2000,trade
171,killarney community college,0646632164,,kccccom@iol.ie,646632178,new road,,,killarney,kerry,ireland,,,01/01/2000,trade
172,killarney nursing home,,,kccccom@iol.ie,,,,,killarney,kerry,ireland,,,01/01/2000,trade
173,killcreene regional orthopaedic hospital,0567785005,,barry.mccauley@hse.ie,,children's disability unit,,,kilkenny,kilkenny,ireland,,,01/01/2000,trade
174,kinsale community hospital,0214772202,,nualaoreily@hse.ie,,,,,kinsale,cork,ireland,,hospital,01/01/2000,trade
175,knockanure national school,,,,,moyvane,,,listowel,kerry,ireland,,,01/01/2000,trade
176,kolbe special school,,,,,portlaoise,,,portlaoise,laois,ireland,,,01/01/2000,trade
177,laragh national school,0238843313,,laraghns.ias@eircom.net,,,,,bandon,cork,ireland,,,01/01/2000,trade
178,laurel lodge,,,,,templemichael glebe,,,longford,longford,ireland,,,01/01/2000,trade
179,letterkenny institute of technology,0749186112,,ann.brennan@lyit.ie,,port road,,,letterkenny,donegal,ireland,,,01/01/2000,trade
180,letterkenny leisure centre,,,,,,sallaghagrane,,letterkenny,donegal,ireland,,leisure,01/01/2000,trade
181,limerick regional hospital,,,bernard.ryan@hse.ie,,dooradoyle,,,navan,co meath,ireland,,hospital,01/01/2000,trade
182,linda mccarthy,,0861613140,lindamccarthy@live.ie,,derrygrath,,,clonmel,tipperary,ireland,,private house,20/10/2016,private
183,lisdarn cnu (cavan gen hosp),0494362333,0866006238,,,lisdarn unit for the elderly,,,cavan,cavan,ireland,,residential home,07/09/2016,trade
184,lisdarn residential unit,0494362333,0866006238,bernadettek.mcmallet@hse.ie,,cavan hospital,,,cavan,cavan,ireland,,residential home,01/01/2000,trade
185,little angels school,0749122456,0868375812,,,knocknamona,,,letterkenny,donegal,ireland,,education,01/01/2000,trade
186,long lane letterkenny,,,,,ballytrim house,,,raphoe,donegal,ireland,,,01/01/2000,trade
187,longford swimming pool,,,,,,,,longford,longford,ireland,,,01/01/2000,trade
188,loretto secondary school,0567765132,,principal@lorrettokk.ie,,granges road,,,kilkenny,kilkenny,ireland,,education,01/01/2000,trade
189,loughrea community nursing unit,,,bernie.austin@hse.ie,,"crannogs,room7",,,loughrea,galway,ireland,,hospital,01/01/2000,trade
190,loughrea court house,,,weasternro@corksourts.ie,,,,,loughrea,galway,ireland,,,01/01/2000,trade
191,lyreacrompane ns,,,,,,,,listowel,kerry,ireland,,education,01/01/2000,trade
192,macroom community hospital,,,Bernie.Buckley@hse.ie,,,,,macroom,cork,ireland,,community hospital,01/01/2000,trade
193,magh ene college,,,,,,,,bundoran,donegal,ireland,,,01/01/2000,trade
194,masonic hall,,,,,castle street,,,dalkey,dublin,ireland,,,01/01/2000,trade
195,maynooth community care centre,,,nuala.nolan@hse.ie,16106360,fitzgerald ward room 33,,,maynooth,kildare,ireland,,,01/01/2000,trade
196,meadow high school,,,,,royal lane,hillingdon,,london,middlesex,ireland,,,01/01/2000,trade
197,meath county council,0469097269,,ttraynor@meathcoco.ie,,(for ryan and justin mongan),43 ashbrook,,navan,meath,ireland,,private house,18/11/2016,trade
198,meath hospital,,,pamala.emnis@hse.ie,,o.t. room,heytesbury street,dublin 8,dublin,,ireland,,,01/01/2000,trade
199,mercy hospital,0214271971,,thamilton@muh.ie,,childrens ward,4th floor,,cork,cork,ireland,,,27/07/2015,trade
200,merlin park hospital,,0876159891,alan.corcoran@hse.ie,,unit 10a seating clinic,,,galway,galway,ireland,,hospital,01/01/2000,trade
201,mid western regional hosptial,,,bernard.ryan@hse.ie,,assisted bathroom,room 52,,limerick,,ireland,,,01/01/2000,trade
202,middleton community hospital,0214635300,,katherine.duran@hse.ie,,,,,middleton,cork,ireland,,end customer,01/01/2000,trade
203,midleton community hospital,0214635300,,katherine.duran@hse.ie,,st. rita's room,st. catherine's ward,,middleton,cork,ireland,,end customer,01/01/2000,trade
204,midway services,,,yburd@midwayservices.ie,469282014,clima hall,oldcastle road,,kells,meath,ireland,,health sector,01/01/2000,trade
205,milford care centre,,,,,plassey park road,,,castletroy,limerick,ireland,,residential home,01/01/2000,trade
206,millbrook day centre,0539233419,,,,enniscorthy (skills room),,,enniscorthy,wexford,ireland,,,01/01/2000,trade
207,millhouse care centre,,0872609289,info@millhousecarecentre.com,,newtown,cummons,,newross,wexford,ireland,,residential home,01/01/2000,trade
208,millstreet community school,,,,2970179,,,,millstreet,cork,ireland,,,01/01/2000,trade
209,milltown national school,0499522802,,,,,,,belturbet,cavan,ireland,,school,01/01/2000,trade
210,monastery cbs primary school,,,moncbstipperary@eircom.net,,st patricks avenue,,,tipperary town,tipperary,ireland,,school,01/01/2000,trade
211,moorehaven centre,,,,6233566,o'brien street,,,tipperary,tipperary,ireland,,,01/01/2000,trade
212,mortuarty - connolly hospital,,,dermot.duke@hse.ie,,blanchardstown,,,dublin 15,dublin,ireland,,,01/01/2000,trade
213,mount alvernia hospital,,,garrett.hayes@hse.ie,,,,,mallow,cork,ireland,,,01/01/2000,trade
214,muckross park college,,,,,donnybrock,,,dublin,dublin,ireland,,end customer,01/01/2000,trade
215,musgrave park hospital,,,,4890902222,regional aquired brain injury unit,bt9 7jb,,belfast,antrim,ireland,,hospital,01/01/2000,trade
216,nano nagle school,,,,,,,,listowel,kerry,ireland,,school,01/01/2000,trade
217,national aquatic centre,,0860429881,,,snugborough road,blanchardstown,,dublin 15,dublin,ireland,,,01/01/2000,trade
218,national learning network,,,clonmel@ntdi.ie,5281521,roseville,western rd,,clonmel,tipperary,ireland,,health sector,01/01/2000,trade
219,national rehab hospital,,0862611592,jasonfarrell@nrh.ie,,st. gabriels ward,rochestown avenue,,dun laoghaire,dublin,ireland,,hospital,01/01/2000,trade
220,navan community hospital,0469078500,,,,beaufort house,144,,navan,meath,ireland,,,10/07/2015,trade
221,navan road primary care centre,,,micheal.madden@hse.ie,,school for the deaf campus,,,dublin 7,dublin,ireland,,care centre,01/01/2000,trade
222,nenagh general hospital,,,mmoloney@mwhb.ie,,,,,nenagh,tipperary,ireland,,hospital,01/01/2000,trade
223,new haughton hospital,,,beryl.mckee@hse.ie,,day care centre,,,new ross,wexford,ireland,,hospital,01/01/2000,trade
224,new haughton hospital01/12/2014,,,beryl.mckee@hse.ie,,ground floor,dunbrody ward,,new ross,wexford,ireland,,hospital,01/01/2000,trade
225,new haughton hospital-duplicate,,,beryl.mckee@hse.ie,,ward 5,,,new ross,wexford,ireland,,hospital,01/01/2000,trade
226,newbridge respite centre,,0872790430,,,356 strand house road,,,newbridge,kildare,ireland,,residential home,01/01/2000,trade
227,newgrove housing association,,,ABIGalway@rehabcare.ie,,rehab care,24 heather grove,,ballybane,galway,ireland,,residential home,01/01/2000,trade
228,newpark school,,,info@newparkschool.ie,12881250,newtownpark ave,blackrock,,dublin,dublin,ireland,,school,01/01/2000,trade
229,newpark school sports centre,,,info@newparkschool.ie,,newtown park ave,,,blackrock,dublin,ireland,,,01/01/2000,trade
230,newport daycare centre,,0863569340,newportdcc@outlook.ie,,church rd,,,newport,tipperary,ireland,,residential home,01/01/2000,trade
231,newtownmountkennedy primary school,,,,,newtownmountkennedy,juniorschool - room 3,,,wicklow,ireland,,,01/01/2000,trade
232,no longer in use,,0872525592,,,40 glenlawn drive,cabinteely,,dublin 18,dublin,ireland,,end customer,01/01/2000,private
233,ns cnoc na manach,0214887272,0877786620,minanebridgens.ias@eircom.net,,,,,minane bridge,cork,ireland,,education,01/01/2000,trade
234,oaklee house,,,,4890331167,springfield ave,house 7,,belfast,antrim,ireland,,residential home,01/01/2000,trade
235,oaklodge nursing home,0214646080,0872366498,ossice@oaklodgenursinghome.ie,,churchtown south,,,cloyne,cork,ireland,,residential home,01/01/2000,trade
236,o'connell primary school,,,,,north richmond street,,dublin,north circular rd,dublin,ireland,,,01/01/2000,trade
237,o'connor bros funeral home,,,,,north gate bridge,,,shanakiel,cork,ireland,,,01/01/2000,trade
238,ofalia house,0469731285,,,,room 12,,,edenderry,offaly,ireland,,community hospital,18/12/2016,trade
239,offally co.co.,,,,,tinnymuck,,,moate,westmeath,ireland,,,01/01/2000,trade
240,orange blossom cottage,,,christina.drainey@foldgroup.co.uk,2838399813,knockeadan,gildford park,,portadown,armagh,ireland,,residential home,01/01/2000,trade
241,our lady's girl's national school,,,,,,,,rathdrum,wicklow,ireland,,,01/01/2000,trade
242,our lady's hospital,,,,,,,,cashel,tipperary,ireland,,,01/01/2000,trade
243,our lady's hospital for sick children,,,,4558873,,,,crumlin,dublin,ireland,,hospital,01/01/2000,trade
